=== Runtime summary ===
Placement-Bruteforce 1m 34.55s
Deployer             4m 44.44s
Applier              1m 01.59s
Total Iteration      7m 21.34s
Placement-Bruteforce 1m 09.49s
Deployer             5m 09.68s
Applier              1m 01.60s
Total Iteration      7m 21.55s
Placement-Bruteforce 54899.07 ms
Deployer             5m 41.49s
Applier              1m 09.96s
Total Iteration      7m 47.14s
Placement-Bruteforce 53305.71 ms
Deployer             5m 25.90s
Applier              1m 10.21s
Total Iteration      7m 30.20s
Placement-Bruteforce 40163.54 ms
Deployer             5m 40.42s
Applier              1m 09.92s
Total Iteration      7m 31.27s
Placement-Greedy     106.93 ms
Deployer             5m 14.47s
Applier              1m 01.36s
Total Iteration      6m 16.75s
Placement-Greedy     106.17 ms
Deployer             6m 10.22s
Applier              1m 10.02s
Total Iteration      7m 21.14s
Placement-Greedy     106.53 ms
Deployer             5m 23.97s
Applier              1m 09.92s
Total Iteration      6m 34.79s
Placement-Greedy     6m 17.83s
Deployer             4m 50.93s
Applier              1m 01.48s
Total Iteration      12m 11.01s
Placement-Greedy     5m 13.94s
Deployer             4m 51.25s
Applier              1m 01.86s
Total Iteration      11m 07.81s
Placement-Random     53.16 ms
Deployer             4m 26.39s
Applier              53206.76 ms
Total Iteration      5m 20.50s
Placement-Random     54.23 ms
Deployer             5m 26.56s
Applier              1m 10.42s
Total Iteration      6m 37.89s
Placement-Random     53.96 ms
Deployer             5m 23.84s
Applier              1m 10.32s
Total Iteration      6m 35.07s
Placement-Random     54.08 ms
Deployer             5m 39.69s
Applier              1m 09.72s
Total Iteration      6m 50.35s
Placement-Random     53.92 ms
Deployer             5m 59.45s
Applier              1m 18.43s
Total Iteration      7m 18.78s
